,tweet,score
129,@Migano2000 Thought he was solid 👍,0.1474091939
130,@Amanda_Jayne_x Nope? 😂 I’m in Edinburgh hahahaha,0.1254841774
131,@robb_anna That would be ever so good-our new Vice President is Scottish and we need NSEAD to be UK wide...... 👍🏼,0.1474091939
132,@scott1learmonth @EuropeanTour 😂 he has nothing on my swing,0.1254841774
133,@MartinFrew72 🇬🇧🤝,0.1483592779
134,Another another colour! Sneak peek of Orange from this morning! 🦁🔥🍑🍊  #interiorstyling #orange… https://t.co/OE5KrOQe4Y,0.1682379595
135,What a first half!!! Well done @EdinburghRugby ⚫️🔴👏🏽 #ULSvEDI,0.1934517284
136,"A little Palestinian girl shields her mother with all she has, a fork and her hand 😓 https://t.co/oMjTBQq7GQ",0.1034860776
137,HERE👏🏻FOR👏🏻THIS https://t.co/F1I39L5UjX,0.1853394723
138,Delivered a talk on Doctor Who today in uni. It was on how it reflects the television industry. Pleased to say I passed 😊,0.1563984506
139,@SJWebber_PHW You'd look fab with a blue rinse. 😁,0.1421471899
140,Second time this week I’ve came to work for someone to have changed my shift 😤😤😤,0.0635094643
141,Fancyyyyyyyyyy was/is so 🔥🔥😍 https://t.co/5iYU8xzY3w,0.1792004677
142,"Absolutely buzzing to find out there's a new Karate Kid coming out 😁😁😁

https://t.co/P5mSTOxIMn",0.2077760725
143,@DjELLiNGTONE bits 'n pieces. 💃🏻,0.1629759556
144,"👀 #andymckayphotography @ Edinburgh, United Kingdom https://t.co/1aLfbW8UW0",0.1139370021
145,@lcdunn 😂😂 brilliant 🤪,0.1416356062
146,@ShazzyBroon I will forever love you for your buy in on this 😂,0.1254841774
147,Just needed too add too bucket list go on the piss wi the wba 4 ! That sounds a cracking nite out 🍻#WBA #onthepisswiwba,0.1467514434
148,"These newly found drake fans, stick to JHus &amp; Mist pls😂😒",0.0981509903
149,"And as actions speak louder than words, most sensible people would decide to sack the driver and grab the wheel 😳🇪🇺 https://t.co/pI0ST6g3lN",0.1952057297
150,Well v Hertz on a Bastard Sunday👺Fans shafted again ffs,0.096031572
151,@fabulousmrg @guardiannews Aye with a cock and 2 balls 😒,0.0819995615
152,@juliettemags 💖😘xxx,0.2125995761
153,@mgcmegan Definitely!!🤞🏼🤞🏼❤️,0.1638529562
154,@Dowanhillshark Yeah the ice has eventually arrived for my cocktail party 😬,0.123510926
155,I am so looking forward to this 👊 https://t.co/LeRYsMHC6V,0.1259957612
156,Love getting out in the fresh air doing parkour on Fridays👌👌,0.1916246437
157,@Karafleur @craig_carol @suzannezeedyk Did you see any parallels with Irish culture? ❤️,0.1638529562
158,Laters #Dinner ☺️,0.1573485347
159,DO NOT WATCH EPISODE FOUR if you're sensitive. 😭😭😭 #queereye,0.0889424834
160,Remmeber the time you sent that auto-generated tweet and it trended worldwide? BE 👏 CAUSE 👏 IT 👏 DIDN'T 👏 HAPPEN,0.261346196
161,"When it comes to ice cream this is the don 🤤😏🤘🏼 @ Edinburgh, United Kingdom https://t.co/CEGeAi8V18",0.1335964335
162,"Here at Maison De Moggy, cat nannies are not allowed favourites *wink wink* 😉 #baes4life… https://t.co/P9qVpcDX6g",0.1431703574
163,@SanSanx_u Thanks! My current itinerary looks very similar 😉,0.1431703574
164,#HappyValentinesDay!! #HappyChineseNewYear #HappyWhatevrUWant!!! 😂😂 🍺🍺 https://t.co/eebjba6fSa,0.2136958269
165,@SaharAslam Oh Seehar 😂😂😂 we were there for a weekend training camp only! Long enough for me given the temperature!… https://t.co/CPqFkZJ5Zp,0.157787035
166,I was trying to be nice. My Mama really has no chill. 😂🤷🏿‍♀️ #ZumaResigns #ZumaMustFall #SouthAfrica 🇿🇦 https://t.co/8EpKqLB27S,0.1254841774
167,@louiseykins  happy birthday 🙌 have a lovely day/night x,0.1501863626
168,"@lmacconnachie_1  happy birthday brother, hope you have an amazing day ❤️",0.1638529562
169,lighten up 🎆 https://t.co/s4DKvjIF0F,0.1611488709
170,@HartsonNiddrie There no that bad 😂,0.1254841774
171,@1999Vaughan Thank u beaut !!! Night out ASAP 😘💋 this is the cutest pic luv you xxxx,0.211064825
172,@katielawriee Thank u sissssy 😙❤️ !!!!,0.2207118322
173,Probably the only sensible thing I've ever said on social media 😎 @RushFamTourneys https://t.co/cw2UXMxG1C,0.1452166922
174,@NaeleM30 Can't wait. Bring it On!! So much to do before it as in other films etc but very excited😀👍,0.1889205584
175,My @1daywithoutus https://t.co/HvZD6guuSB pack has just arrived 💛 // super excited about tomorrow's migrants celebr… https://t.co/nnfFxcScLN,0.1611488709
176,Why do I always get bus’s that end up with junkies on them 😩😩,0.055543375
177,"solardo🎶 @ Edinburgh, United Kingdom https://t.co/cdK4mHqntF",0.1485785281
178,#المملكة_العربية_السعودية 🇸🇦 💚 https://t.co/49iGP7QGqa,0.1946210626
179,"Honestly how have I survived this long, I'm clueless being an actual adult. Academia take me back 💔💔",0.0916465687
180,So in love with my tattoo 💓😍 https://t.co/NjetA8ixiv,0.2074106556
181,Oh yes. Teen dragged me to this. Very glad she did 👏🏻 https://t.co/M58W30Gtfi,0.1473361105
182,"Por toda una vida con ellos 🍻🤙🏼 en Edinburgh, United Kingdom https://t.co/aX7pvLQ0Th",0.1467514434
183,@EllemurrayXX happy birthday babes hope you've had an amazing day❤❤ FINALLY 18😜😜,0.284879047
184,"Nothing worse than when you're dieting, out running and you're going past takeaways and can smell the tidy food 😍 m… https://t.co/QlEa7mCQZp",0.1588832858
185,@SamRintoul9 Happy Birthday Mate! Hope you’ve had a smashing day!🍻💙 https://t.co/JA2BIYyZdz,0.2001023167
186,"@Ryansouter5 happy birthday bro, hope it's a good one ❤️",0.1638529562
187,Booked! 👌🏻🦖 https://t.co/FyXpyx8CXb,0.1504786962
188,🤣🤣🤣👏👏👏 https://t.co/OcSSHi2L9Z,0.2233428342
189,"دعوة للتفاؤل 
عمر السومة سوف يكون جاهز في المباراة القادمة في الدوري 💚
هرمنننا https://t.co/GpaNizhcOf",0.1572754513
190,"@weealvee He, Alex McLeish, was too young. 
Many others of the same age not too young. 🤷🏼‍♂️",0.1184681722
191,😂😂😂😂😂 https://t.co/7yUy8rFnCg,0.1900898926
192,"Happy birthday Ferr Kisher, hope u have an ok day I guess 🎀💗 https://t.co/ynBubidl2J",0.2033179858
193,"Adore Edinburgh❣️Now to plan our next getaway 💭💛 @ Edinburgh, United Kingdom https://t.co/etISckEU8i",0.1762040488
194,Lukes away for the weekend so it’s straight into my pjs and trash TV at the ready 😏🍿,0.1335964335
195,Ooooh yeah ! Slaínte 😊 https://t.co/7rRWmukHoL,0.1563984506
196,"Mrs B just told me she’s sorted @GerryCinnamon tickets for the Liquid Rooms! Caaaman 🤙🏻🎶 

#shesakeeper",0.1485785281
197,Always misspell my fuckin tweets man😂,0.1254841774
198,The largest scotch whiskey collection in the world! Wow @ScotchWhiskyExp 🥃 🔥 https://t.co/edl3hKh9v6,0.1194913396
199,@Deanos_Da No-o-o-o! You invented your own interpretation of what I said. Goalposts remain in place. 🥅👈🏻,0.1403201052
200,@Irvine_1875 Cheers lad HH 💚,0.1572754513
201,@stuartie17 You’re incoherent! 😛,0.1532558649
202,@nicolanisbet9 Thank u nic💗,0.1573485347
203,@elgobsucram Thanks :) 👸🧚‍♂️✨,0.1883358913
204,@NASA one of ur rockets has been found. £7m? 😂😂😂 https://t.co/BIML83q2Yo,0.157787035
205,What a pint 🍺🤪 https://t.co/EdnfPsK6zA,0.145362859
206,@AriffShihab @vg123e 😂 But why should they? No one else seems to be the least bothered by it!,0.1254841774
207,Americans are the prime example of you can’t argue with stupid!! Blows my mind 🙈 https://t.co/ASUxxFQsD8,0.1409047723
208,H-E on, H-E off.  Seems to be a biggish problem in the 'hood 💡🔌🕯💡🔌🕯 There will be Interweb Interruptus 🙁
209,@SanSanx_u Weekend sight seeing! ☺️🏴󠁧󠁢󠁳󠁣󠁴󠁿 do you have any recommendations?,0.1573485347
210,What an amazing achievement @StrathRugby 👏🏻 https://t.co/uCXBnSot8s,0.1473361105
211,@pferris7 Look after my hubby 😜,0.1425856903
212,Why is everything and anything draining me right now😩 such a rut,0.0824380618
213,@cctv_idiots @oneputtpistol the dogs reaction 😂😂😂,0.157787035
214,@nrxrubicon @PrisonPlanet Though I may be giving too charitable an interpretation 😅,0.1223415918
215,"Hi Folks,Happy Friday and a Big Hello to my new followers😀👍",0.1889205584
216,@ChrisWisniewsk1 Still the Best Chris😀👍,0.1889205584
217,"Check Out My Major Playlist ▶ On @AppleMusic

https://t.co/1m6UaNH8YA",0.1246071768
218,"It will erase your past to protect your future: Eraser (The Movie) 😎

Lolz done with half an hr of shredding. Thank… https://t.co/3oSWRmIW6s",0.1452166922
219,@ViciousValkyrie @Edinburgh_CC @CllrChasBooth It’s gonna be fun 😂,0.1254841774
220,@CD_15 Natural Order 👇🏽 https://t.co/hOlmAZAW2T,0.1273843455
221,@laurenoniell happy birthday gorgeous girl!!!💓,0.1578601184
222,@realtomdalling @JamieG1916 😡,0.0966893225
223,"@Lynseygrant_ happy birthday Lyn, haven’t seen you in ages😅💔 hope it’s been a good one though😛❤️xx",0.2119418256
224,@pupstino Ohhh yeahhh 😝,0.1402470219
225,So happy and proud of Amy for getting an A for her thesis. All that hard work and stress has paid off ✅💪🏻🙆,0.2161806621
226,@CampanileCarina Thank u hunni bun 🤪💘💘💘,0.259080611
227,"Had the best time in EdinB ☀️💝 @ Edinburgh, United Kingdom https://t.co/33BMFPf0Ih",0.1903822261
228,@eilidh_mcgregor Thank you baby 💘💘💘,0.259080611
229,@broganfleming_ Thank u baby 💘 celebrate soon xxx,0.1592487028
230,£14 for Hibs away fair play 👍🏽,0.1474091939
231,@tashanimmo__ Tysm luv u loads ❤️ see u sooon,0.1638529562
232,@allanjbwatson Is that the waffle place?! 😮,0.1289921801
233,Finally time for a Friday beer with @SamMSelbie. The @bierhoose is top notch 🍻👌,0.1878973909
234,@scottwoloszyn Do you want titanic night and sausage with myself and @natalie_forbes  ❤️,0.1638529562
235,"Celebrating the year of the Dog with some pooches on postcards! 🐶🐶🐶.
•
•
•
.&gt; #chinesenewyear… https://t.co/R1H50bhp4y",0.2356208434
236,"Hate when Lily is unwell, such a shame 😢",0.1098443324
237,@SergioYedo You didn’t knock the breath out of you and break a fucking rib 😂,0.1254841774
238,"اقسم بالله العظيم انك فقيده وانك نعمة من رب العالمين ، الله يوفقك وترجع اقوى 💔💔
@omaralsomah https://t.co/sv6kIJ3emt",0.0916465687
239,Last to leave the office on a Friday night 👩🏼‍🔬,0.1142293357
240,For DELISH vegan cakes and baked in #edinburgh you have to try @SugarDaddysEdin 🍰👍🏻,0.1801505518
241,@SeeEmilyyPlay Or she is stalking you. But veerrry subtly. 😎,0.1452166922
242,@CHIMPSINSOCKS I can't tell either 😐,0.0809763941
243,Darts ❤️ https://t.co/UbcBx8mNQo,0.1638529562
244,@KirstiCampbell1 No in turkey tho 😂,0.1254841774
245,@CaitlinRussell0 That’s ma gal👌💙💙,0.2571804429
246,@laurenshilling1 Soon as Im better 😇😇,0.1951326463
247,@kimjohnstonn Dream gals 💜💜,0.2049258204
248,@billydoyle07 @spacedad1098 Wimp!!!😁😁,0.1749616312
249,@_ErosApollo_ 😫 YOU’RE RIGHT. 🥞 🥞🥞🥞🥞🥞🥞🥞🥞🥞🥞🥞🥞🥞🥞 https://t.co/1mqlsfYNGD,0.0987356574
250,I need another night out with my bestest pronto 👏🏻👏🏻 @laurenshilling1,0.1853394723
251,my life is one shamble after the other 😐,0.0809763941
252,"Aidan coming to spend the night with me to keep me company, suppose he can be nice when he wants to be ❣️😭 @MrAidanGorman",0.1025359936
253,@VikkiMAllan Have a great game Vikki ⚽️💪🏼,0.1949133962
254,💖 https://t.co/ZLaCbLWo8J,0.161368121
255,Drake really makes the rest of us look like trash 😪,0.1034860776
256,@EllemurrayXX happy birthday babes! Hope you have the best day😘xx,0.1605642038
257,"@Leespence93 @alicjawik It’s Friday and I’m fiesty😘, it’s all love see u tomorrow xxx",0.1605642038
258,Why do bad things happen to good people 😪😢. What is karma???????,0.1039976613
259,#WinterOlympics2018 Commentary is the best “ the youngster went out like a wet cat” @BBCSport 🏂⛷🎿🛷🥌⛸,0.1648761237
260,Visiting Edinburgh for the weekend ☺️🏴󠁧󠁢󠁳󠁣󠁴󠁿 staying in such a beautiful little hotel ✨ #cute https://t.co/TnGVmgGpL3,0.1830008039
261,A story in two pictures: 🐱🐦💀 https://t.co/tLzA3TrQeO,0.1624643718
262,@gingerninja1994 😂😂 according to this I’m heartless! 😂😂,0.1739384638
263,@_Bheanian_ He’s an absolute fanny. Cunt blocked me 😂,0.1254841774
264,@TumshiePam Congratulations. That seems like a promotion to me. Look forward to your observations in London. 😉,0.1431703574
265,#FridayFunday 👫💙💖 https://t.co/6OryEnRDbm,0.2333552583
266,@Ripped_Problems 🌝🌝🌝🌝 none of the other kittuns have twitter innit bro x,0.1645837901
267,@lewis_gill_  Happy birthday Gilly ya big idiot see u the night matey 😎,0.1452166922
268,@DeviGill New chapter of your life ! Celebrations 🎉,0.1632682891
269,@laurenmeharry 😂😂😂😂,0.1739384638
270,@joeywarne Oh I FEEL you Joey! Keep on keeping on and remember how awesome and wonderful you are! You make magic 😉 x,0.1431703574
271,knackered😭😭,0.0957392385
272,@Michael_Moffat happy birthday michael! Hope you have a good one 👍🏼 x,0.1474091939
273,Good luck to Harry Jones who leaves us today to carry on his apprenticeship at Duddingston Gc. 👍🏻,0.1474091939
274,"Donezo. Goodbye Ferry Road, hello Quartermile (as of Monday) 😄.",0.1401008551
275,Yaaaay! ❤️❤️❤️ https://t.co/JjQuPsBQTL,0.2728933713
276,@bethhtayylor_x Thank u baby 💘 xx,0.1592487028
277,@gabriellexx2 Thank u babes 🤤💘 xx,0.1592487028
278,@katiefairholm Thank u pretty !!!! Luv u 😘❤️,0.2150844113
279,"Okay, so I watched this for the laughs, but it's actually quite emotional. 😭 https://t.co/w5e3ciXfsp",0.1025359936
280,Music taking over his soul😍 @benjaminbruce https://t.co/sWUO7ppl2E,0.1588832858
281,@Detroit67Book Cross between chick and Alan Carr .  😬,0.123510926
282,winter babies🌱🌳@treesforlifeuk https://t.co/c2vOEYGWVg,0.1865818899
283,#NewProfilePic #Celtic #CelticFC #CelticFamily #Celtics #EuropaLeague #parkhead #rebel #RebelGirls #🇮🇪 https://t.co/c2DpuDk4hT,0.1978367317
284,@__alexsmyth I was just thinking that when I was working on my business plan 😂🥂,0.1254841774
285,Josh windass’s tweet has inspired me to look at all the videos I take singing about him! Absolute bae man!💙😍,0.2122341592
286,Oooh YEAH BABY!!! 🔥🔥 https://t.co/M469l8FXyI,0.1296499306
287,@MilesBriggsMSP @ScotParl Great news!! Fantastic to see our local beers with you. 🍻 Thanks Miles! #craftbeerforall,0.1467514434
288,This is top drawer 😂😂😂 https://t.co/xBCL8ciUkP,0.157787035
289,Absolute perfection 😍 https://t.co/DWsvwbJpWI,0.1588832858
290,Fantastic! 😂 #BadAssCow https://t.co/ls7phEY4nN,0.1254841774
291,"it's meeee, grab a windbreaker , excellent dog walking attire 🐶 https://t.co/VQizLY2AVY",0.1514287802
292,🏠sweet 🏠,0.1824161368
293,@ScottCapaldi Thanks scotty 💪🏼💪🏼💪🏼,0.2310165899
